Cód. UO;Categoria;Descrição categ.;Nome UO;Sigla UO;Data criação;Endereço;Compl. Endereço;Bairro;CEP;Cód. Município;Nome município;UF;DDD;Telefone;Ramal;Fax;e-mail;Porte;CNPJ;Unidade ativa;Situação Unidade;Descrição situação unidade;Horário início atend.;Horário fim atend.
2001340;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL CAJUEIRO             ;APSCAJ;10/05/2013;AV ANTONIO CARLOS DE MORAES           ;;CENTRO       ;57770000       ;2013;CAJUEIRO           ;AL;82;32841500;;;aps02001340@inss.gov.br;D;29979036156825;1;1;EM FUNCIONAMENTO;730;1330
3001030;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL MANAUS-CENTRO        ;APSMAC;10/06/1999;RUA DA INSTALAÇÃO,   149              ;;CENTRO       ;69010200       ;3028;MANAUS             ;AM;92;36223616;;;aps03001030@inss.gov.br;B;29979036048267;1;1;EM FUNCIONAMENTO;700;1700
3001060;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL MANAUS-COMPENSA      ;APSMCP;10/06/1999;R. AMAZONAS, S/N                      ;;COMPENSA     ;69030000       ;3028;MANAUS             ;AM;92;36252372;;36252372;aps03001060@inss.gov.br;C;;1;1;EM FUNCIONAMENTO;700;1700
3001090;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL PARINTINS            ;APSPAR;10/06/1999;R PEDRO GONCALVES                     ;;RAIMUNDO MUNI;69151450       ;3035;PARINTINS          ;AM;92;35332029;;35331882;aps03001090@inss.gov.br;C;29979036051993;1;1;EM FUNCIONAMENTO;800;1800
3001120;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL COARI M              ;APSCOA;10/06/1999;RUA JONATHAS PEDROSA - 138            ;;;69460000       ;3013;COARI              ;AM;97;35612062;;;apscoari@previdencia.go;D;29979036126160;1;1;EM FUNCIONAMENTO;800;1400
3001150;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL MAUÉS                ;APSMAU;10/06/1999;RUA SÃO JOÃO 586                      ;;;69190000       ;3031;MAUES              ;AM;92;35421689;;35421656;aps03001150@inss.gov.br;D;29979036053422;1;1;EM FUNCIONAMENTO;800;1400
3001200;22;aps móve;AGÊNCIA DA PREVIDÊNCIA SOCIAL MÓVEL FLUTUANTE MANAU;APSMFI;08/10/2003;AV 7 DE SETEMBRO 280 CENTRO 4º AND S-4;;CENTRO       ;69005141       ;3028;MANAUS             ;AM;92;36217133;;;apsmf03001200@inss.gov.;D;;1;1;EM FUNCIONAMENTO;800;1800
3001250;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL PRESIDENTE FIGUEIREDO;APSPFI;12/09/2011;BR 174 KM 107 S/N                     ;;CENTRO       ;69735000       ;3045;PRESIDENTE FIGUEIRE;AM;;;;;aps03001250@inss.gov.br;D;29979036149292;1;1;EM FUNCIONAMENTO;800;1400
3021020;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL BENJAMIN CONSTANT    ;APSBEN;30/11/2012;R. CASTELO BRANCO, 346                ;;CENTRO       ;69630000       ;3007;BENJAMIN CONSTANT  ;AM;97;34155604;;;aps03021020@inss.gov.br;D;;1;1;EM FUNCIONAMENTO;800;1400
3021060;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL TABATINGA            ;APSTAB;30/11/2012;R. RUI BARBOSA 846                    ;;CENTRO       ;69640000       ;3068;TABATINGA          ;AM;97;34122556;;34122163;aps03021060@inss.gov.br;D;;1;1;EM FUNCIONAMENTO;800;1800
4001020;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SALVADOR-BONFIM      ;APSSBF;29/09/2000;AV SETE DE SETEMBRO  ED FLORENSILVA   ;RELOGIO  S PEDRO    ;DOIS DE JULHO;40060001       ;4275;SALVADOR           ;BA;71;33227077;;33216166;aps04001020@inss.gov.br;A;29979036106992;1;1;EM FUNCIONAMENTO;700;1700
4001050;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SALVADOR-CENTRO HISTÓ;APSSCH;20/09/2000;R JOSE GONCALVES ED OTACILIO GUALBERTO;;CENTRO       ;40020290       ;4275;SALVADOR           ;BA;71;37977679;;37977638;aps04001050@inss.gov.br;B;29979036106640;1;1;EM FUNCIONAMENTO;700;1700
4001090;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SALVADOR-PERIPERI    ;APSSPP;29/09/2000;AVENIDA  AFRANIO PEIXOTO              ;;PERIPERI     ;40720270       ;4275;SALVADOR           ;BA;71;35213355;;35212102;aps04001090@inss.gov.br;C;29979036106216;1;1;EM FUNCIONAMENTO;700;1700
4001120;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ALAGOINHAS           ;APSALA;10/06/1999;RUA SILVA JARDIM                      ;;SILVA JARDIM ;48060000       ;4007;ALAGOINHAS         ;BA;75;34223985;;34224123;aps04001120@inss.gov.br;B;29979036002356;1;1;EM FUNCIONAMENTO;700;1700
4001150;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL CANDEIAS             ;APSCND;08/10/2003;ERNANI ROCHA, 2512 - S. SEBASTIÃO PASS;SÃO SEBASTIÃO DO PAS;CENTRO       ;43850000       ;4295;SAO SEBASTIAO DO PA;BA;71;36011584;;36012108;aps04001150@inss.gov.br;D;29979036049743;1;1;EM FUNCIONAMENTO;730;1330
4001180;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL MATA DE SÃO JOÃO     ;APSMSJ;08/10/2003;PRACA  BARAO  ACU DA TORRE SN         ;;;48280000       ;4211;MATA DE SAO JOAO   ;BA;71;36351247;;36351605;aps04001180@inss.gov.br;D;29979036070432;1;1;EM FUNCIONAMENTO;730;1330
4001220;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SIMÕES FILHO         ;APSSFI;28/02/2005;AVENIDA WALTER ARAGAOO DE SOUZA NS    ;;CENTRO       ;43700000       ;4307;SIMOES FILHO       ;BA;71;33961956;;33961887;aps04001220@inss.gov.br;C;29979036121525;1;1;EM FUNCIONAMENTO;730;1330
4021010;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL BARREIRAS            ;APSBAS;29/09/2000;AV CLERISTON ANDRADE, 743             ;;VILA BRASIL  ;47801255       ;4032;BARREIRAS          ;BA;77;36139116;;36139114;aps04021010@inss.gov.br;C;29979036095850;1;1;EM FUNCIONAMENTO;700;1700
4021050;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL XIQUE-XIQUE          ;APSXIQ;29/09/2000;AV. CICINATO FIGUEIREDO SANTOS, S/N   ;;CENTRO       ;47400000       ;4336;XIQUE-XIQUE        ;BA;74;36611341;;36611258;aps04021050@inss.gov.br;C;29979036054747;1;1;EM FUNCIONAMENTO;700;1700
4021090;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SÃO FÉLIX DO CORIBE  ;APSSFC;08/10/2003;AV. ERNESTO GEISEL, 55                ;;CENTRO       ;47665000       ;4410;SAO FELIX DO CORIBE;BA;77;34911646;;34911530;aps04021090@inss.gov.br;D;29979036073024;1;1;EM FUNCIONAMENTO;700;1700
4021120;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SANTA MARIA DA VITÓRI;APSSMV;14/09/2010;RUA CASTELO BRANCO                    ;710                 ;CENTRO       ;47640000       ;4282;SANTA MARIA DA VITO;BA;77;34835789;;34835789;aps04021120@inss.gov.br;D;29979036130001;1;1;EM FUNCIONAMENTO;800;1800
4021150;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL FORMOSA DO RIO PRETO ;APSFRP;10/04/2012;AV. MATRIZ, N.º 438                   ;;CENTRO       ;47990000       ;4111;FORMOSA DO RIO PRET;BA;77;36162063;;;aps04021150@inss.gov.br;D;29979036145203;1;1;EM FUNCIONAMENTO;730;1330
4021180;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL OLIVEIRA DOS BREJINHO;APSOLB;20/12/2012;PRAÇA CARMERINDO JOSÉ PEREIRA,        ;;CENTRO       ;47530000       ;4233;OLIVEIRA DOS BREJIN;BA;;;;;aps04021180@inss.gov.br;D;29979036154296;1;1;EM FUNCIONAMENTO;700;1700
4022050;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL FEIRA DE SANTANA     ;APSFEI;29/09/2000;RUA N ,  CONJUNTO MILTON GOMES        ;SN                  ;QUEIMADINHA  ;44050522       ;4108;FEIRA DE SANTANA   ;BA;75;36232947;;32235143;aps04022050@inss.gov.br;A;29979036112615;1;1;EM FUNCIONAMENTO;700;1700
4022080;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL JEQUIÉ               ;APSJEQ;29/09/2000;PRAÇA CORONEL JOÃO BORGES, ED. MULTICE;;CENTRO       ;45200140       ;4181;JEQUIE             ;BA;73;35252712;;35252612;aps04022080@inss.gov.br;B;29979036002518;1;1;EM FUNCIONAMENTO;700;1700
4022130;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SERRINHA             ;APSSER;29/09/2000;RUA CORNELIO PAZ S/N                  ;;;48700000       ;4305;SERRINHA           ;BA;75;32612027;;32612690;aps04022130@inss.gov.br;C;29979036099414;1;1;EM FUNCIONAMENTO;700;1700
4022160;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ICHU                 ;APSICH;08/10/2003;PRAÇA HILDEBRANDO CEDRAZ, 21 CENTRO   ;;CENTRO       ;48725000       ;4134;ICHU               ;BA;75;36842166;;36842188;aps04022160@inss.gov.br;D;29979036099503;1;1;EM FUNCIONAMENTO;700;1700
4022200;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL RUY BARBOSA          ;APSRUY;08/10/2003;RUA MATO GROSSO,                      ;SN                  ;;46800000       ;4273;RUY BARBOSA        ;BA;75;32521589;;32521413;aps04022200@inss.gov.br;D;29979036050245;1;1;EM FUNCIONAMENTO;700;1700
4022230;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SANTO ESTEVÃO        ;APSSES;12/09/2011;AV GETÚLIO VARGAS                     ;04                  ;CENTRO       ;44190000       ;4288;SANTO ESTEVAO      ;BA;75;32451246;;32451246;aps04022230@inss.gov.br;D;29979036139734;1;1;EM FUNCIONAMENTO;700;1300
4023010;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL EUNÁPOLIS            ;APSEUN;29/09/2000;R PAULINO MENDES LIMA - S/N           ;;CENTRO       ;45820440       ;4368;EUNAPOLIS          ;BA;73;32813975;;32813975;aps04023010@inss.gov.br;C;29979036050164;1;1;EM FUNCIONAMENTO;700;1500
4023040;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ITABUNA              ;APSITA;29/09/2000;AV ILHEUS, 45                         ;;CENTRO       ;45600045       ;4149;ITABUNA            ;BA;73;36134122;;36136279;aps04023040@inss.gov.br;A;29979036103381;1;1;EM FUNCIONAMENTO;700;1700
4023070;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL CAMACAN              ;APSCAM;08/10/2003;AV DOS PINHEIROS,270,ED ANISIO LOUREIR;TÉRREO              ;CENTRO       ;45880000       ;4056;CAMACAN            ;BA;73;32831731;;32831861;aps04023070@inss.gov.br;D;29979036069183;1;1;EM FUNCIONAMENTO;730;1330
4023100;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL COARACI              ;APSCOA;08/10/2003;RUA MARIA QUITÉRIA, 120               ;;CENTRO       ;45638000       ;4080;COARACI            ;BA;73;32411433;;32411316;aps04023100@inss.gov.br;D;29979036103209;1;1;EM FUNCIONAMENTO;700;1300
4023140;27;aadj    ;AGÊNCIA DA PREVIDÊNCIA SOCIAL ATENDIMENTO DEMANDAS ;APSDJI;12/09/2011;AV ILHÉUS, 45                         ;;CENTRO       ;45600045       ;4149;ITABUNA            ;BA;73;36348798;;;apsdj04023140@inss.gov.;D;;1;1;EM FUNCIONAMENTO;;
4023170;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL PRADO                ;APSPRA;16/03/2012;AV. ANTÔNIO SERGIO CARNEIRO, S/N      ;EXPEDITO CORDEIRO   ;;45980000       ;4256;PRADO              ;BA;73;32982607;;;aps04023170@inss.gov.br;D;29979036144738;1;1;EM FUNCIONAMENTO;700;1300
4023200;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ITANHÉM              ;APSITH;01/08/2012;RUA DOM PEDRO II, S/N                 ;;CENTRO       ;45970000       ;4161;ITANHEM            ;BA;73;32952720;;;aps04023200@inss.gov.br;D;29979036150380;1;1;EM FUNCIONAMENTO;700;1300
4023230;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL BELMONTE             ;APSBEL;31/08/2012;TRAVESSA VISCONDE DE CAIRU            ;;CENTRO       ;45800000       ;4034;BELMONTE           ;BA;73;32872042;;;aps04023230@inss.gov.br;D;29979036151513;1;1;EM FUNCIONAMENTO;700;1300
4024030;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL JACOBINA             ;APSJAC;29/09/2000;RUA SÍLVIO DIAS PIRES, S/Nº           ;;CENTRO       ;44700000       ;4176;JACOBINA           ;BA;74;36214245;;36214245;aps04024030@inss.gov.br;B;29979036003913;1;1;EM FUNCIONAMENTO;700;1700
4024060;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL MIGUEL CALMON        ;APSMIG;29/09/2000;PRAÇA QUINZE DE NOVEMBRO,  S/Nº       ;;CENTRO       ;44720000       ;4213;MIGUEL CALMON      ;BA;74;36272252;;36272400;aps04024060@inss.gov.br;C;29979036107379;1;1;EM FUNCIONAMENTO;700;1300
4024090;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SENHOR DO BONFIM     ;APSSEN;29/09/2000;PRAÇA ALEXANDRE GOES, 178             ;;CENTRO       ;48970000       ;4301;SENHOR DO BONFIM   ;BA;74;35414524;;35413186;aps04024090@inss.gov.br;B;29979036003166;1;1;EM FUNCIONAMENTO;700;1700
4024130;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL PARIPIRANGA          ;APSPPG;10/06/1999;TRAVESSA ARTUR TRINDADE, SN           ;;CENTRO       ;48430000       ;4239;PARIPIRANGA        ;BA;75;32792116;;32792116;aps04024130@inss.gov.br;D;29979036070190;1;1;EM FUNCIONAMENTO;700;1700
4024160;27;aadj    ;AGÊNCIA DA PREVIDÊNCIA SOCIAL ATENDIMENTO DEMANDAS ;APSDJJ;12/09/2011;AV ADOLFO VIANA - DE 1 A 201          ;1º ANDAR            ;CENTRO       ;48903580       ;4185;JUAZEIRO           ;BA;74;36123939;;;apsdj04024160@inss.gov.;D;;1;1;EM FUNCIONAMENTO;700;1700
4025030;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL MARAGOGIPE           ;APSMAR;29/09/2000;R. DR. PLACIDO ANTONIO ROCHA S/N      ;B. PALMEIRA         ;;44420000       ;4207;MARAGOGIPE         ;BA;75;35261133;;35261589;aps04025030@inss.gov.br;C;29979036001899;1;1;EM FUNCIONAMENTO;700;1700
4025060;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL SANTO ANTÔNIO DE JESU;APSSAN;29/09/2000;RUA JD.BAHIA, S/N                     ;;CENTRO       ;44571001       ;4287;SANTO ANTONIO DE JE;BA;75;36314679;;36315868;aps04025060@inss.gov.br;C;29979036071323;1;1;EM FUNCIONAMENTO;700;1600
4025090;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL VALENÇA              ;APSVAL;29/09/2000;RUA DOM PEDRO II, 191                 ;;CENTRO       ;45400000       ;4329;VALENCA            ;BA;75;36413045;;36414710;aps04025090@inss.gov.br;C;29979036001708;1;1;EM FUNCIONAMENTO;700;1700
4025130;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL MUTUIPE              ;APSMTP;29/09/2011;AV CRUZEIRO 1423                      ;CENTRO              ;CENTRO       ;45480000       ;4225;MUTUIPE            ;BA;75;36351619;;;aps04025130@inss.gov.br;D;29979036142360;1;1;EM FUNCIONAMENTO;700;1700
4026010;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL BRUMADO              ;APSBRM;29/09/2000;RUA TEODORO SAMPAIO, 118              ;;CENTRO       ;46100000       ;4046;BRUMADO            ;BA;77;34413332;;34413449;aps04026010@inss.gov.br;C;29979036110833;1;1;EM FUNCIONAMENTO;700;1700
4026040;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ITAPETINGA           ;APSITA;29/09/2000;RUA OLÍMPIO VIEIRA, Nº 47             ;;CENTRO       ;45700000       ;4165;ITAPETINGA         ;BA;77;32612940;;32611570;aps04026040@inss.gov.br;C;29979036003832;1;1;EM FUNCIONAMENTO;700;1700
4026070;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL VITÓRIA DA CONQUISTA ;APSVIT;29/09/2000;AV ROSA CRUZ 06                       ;;CANDEIAS     ;45028045       ;4333;VITORIA DA CONQUIST;BA;77;34242033;;34243214;aps04026070@inss.gov.br;A;29979036128376;1;1;EM FUNCIONAMENTO;700;1700
4026110;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ITORORÓ              ;APSITO;01/11/2010;RUA 26 DE ABRIL, S/N                  ;;CENTRO       ;45710000       ;4172;ITORORO            ;BA;73;32652491;;;aps04026110@inss.gov.br;D;29979036132640;1;1;EM FUNCIONAMENTO;700;1700
4026140;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ENCRUZILHADA         ;APSECZ;12/09/2011;PÇA. NELSON PALES DE OLIVEIRA, S/N    ;;CENTRO       ;45150000       ;4104;ENCRUZILHADA       ;BA;77;34392575;;;aps04026140@inss.gov.br;D;29979036141550;1;1;EM FUNCIONAMENTO;700;1400
4026170;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ANAGÉ                ;APSANG;30/03/2012;RUA CLAUDIONOR SILVA, S/N             ;;CENTRO       ;45180000       ;4012;ANAGE              ;BA;77;34352419;;;aps04026170@inss.gov.br;D;29979036145467;1;1;EM FUNCIONAMENTO;700;1400
4026200;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL RIACHO DE SANTANA    ;APSRIS;16/08/2012;RUA TREZE DE AGOSTO, S/N              ;B. CASTELO BRANCO   ;;46470000       ;4265;RIACHO DE SANTANA  ;BA;77;34572946;;;aps04026200@inss.gov.br;D;29979036150622;1;1;EM FUNCIONAMENTO;700;1400
4026230;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL CARINHANHA           ;APSCNH;23/10/2012;RUA CAMPO ALEGRE, S/N                 ;B. CIDADE JARDIM    ;;46445000       ;4071;CARINHANHA         ;BA;77;34852768;;34852768;aps04026230@inss.gov.br;D;29979036152595;1;1;EM FUNCIONAMENTO;700;1400
5001030;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL CASCAVEL             ;APSCAS;29/09/2000;R. CORONEL LEITE, S/N                 ;;CENTRO       ;62850000       ;5035;CASCAVEL           ;CE;85;33341512;;33431145;aps05001030@inss.gov.br;C;29979036108260;1;1;EM FUNCIONAMENTO;700;1400
5001060;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL FORTALEZA-CENTRO-OEST;APSCOE;29/09/2000;RUA PRINCESA  ISABEL, Nº 1611         ;;CENTRO       ;60015061       ;5045;FORTALEZA          ;CE;85;32310133;;32545604;aps05001060@inss.gov.br;C;29979036108340;1;1;EM FUNCIONAMENTO;700;1700
5001090;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL FORTALEZA-MESSEJANA  ;APSMSS;29/09/2000;RUA MANUEL CASTELO BRANCO, 248        ;;MESSEJANA    ;60840015       ;5045;FORTALEZA          ;CE;85;32557768;;32293736;aps05001090@inss.gov.br;C;29979036109665;1;1;EM FUNCIONAMENTO;700;1700
5001120;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL FORTALEZA-CENTRO     ;APSFCE;29/09/2000;R SENADOR POMPEU - 1174               ;;CENTRO       ;60025000       ;5045;FORTALEZA          ;CE;85;32557577;;32557509;aps05001120@inss.gov.br;B;29979036109401;1;1;EM FUNCIONAMENTO;700;1700
5001150;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL REDENÇÃO             ;APSRED;29/09/2000;RUA SANTOS DUMONT, 177                ;;CENTRO       ;62790000       ;5117;REDENCAO           ;CE;85;33321327;;33321351;aps05001150@inss.gov.br;C;29979036100609;1;1;EM FUNCIONAMENTO;730;1730
5001180;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL QUIXADÁ              ;APSQXD;10/06/1999;RUA FLORENCIO LOPES, 171              ;;CENTRO       ;63900000       ;5114;QUIXADA            ;CE;88;34120200;;34120383;aps05001180@inss.gov.br;C;29979036004804;1;1;EM FUNCIONAMENTO;700;1700
5001210;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL MARACANAÚ            ;APSMAR;08/10/2003;ANEL VIÁRIO, 4 DE JULHO,S/N           ;MARACANAÚ           ;CENTRO       ;61900012       ;5145;MARACANAU          ;CE;85;33820465;;33820482;aps05001210@inss.gov.br;D;29979036100528;1;1;EM FUNCIONAMENTO;700;1700
5001250;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL PARACURU             ;APSPRC;29/09/2011;RUA SÃO JOÃO EVANGELISTA, S/N         ;;CENTRO       ;62680000       ;5103;PARACURU           ;CE;85;32557746;;;aps05001250@inss.gov.br;D;29979036140660;1;1;EM FUNCIONAMENTO;730;1730
5001280;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL PENTECOSTE           ;APSPEN;06/02/2012;RUA VICENTE FEIJÓ DE MELO, S/N - CENTR;PENTECOSTE -CE      ;;62640000       ;5108;PENTECOSTE         ;CE;85;33522368;;33522255;aps05001280@inss.gov.br;D;29979036146005;1;1;EM FUNCIONAMENTO;730;1730
5001310;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ARACOIABA            ;APSARA;23/07/2012;RUA RAIMUNDO DE CASTRO E SILVA,S/N    ;;;62750000       ;5012;ARACOIABA          ;CE;;;;;aps05001310@inss.gov.br;D;29979036150207;1;1;EM FUNCIONAMENTO;700;1700
5001340;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL OCARA                ;APSOCR;14/06/2013;RUA CASSIANO CORREIA, 121             ;;CENTRO       ;62755000       ;5171;OCARA              ;CE;85;32221125;;;aps05001340@inss.gov.br;D;;1;1;EM FUNCIONAMENTO;700;1700
5021020;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL ASSARÉ               ;APSASR;29/09/2000;RUA EUCLIDES ONOFRE, 218              ;;CENTRO       ;63140000       ;5016;ASSARE             ;CE;88;35351399;;;aps05021020@inss.gov.br;C;29979036126080;1;1;EM FUNCIONAMENTO;730;1530
5021050;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL CRATO                ;APSCTO;29/09/2000;R JOSE MARROCOS - DE 1 AO FIM         ;;PINTO MADEIRA;63101005       ;5043;CRATO              ;CE;88;35218833;;;aps05021050@inss.gov.br;C;29979036005029;1;1;EM FUNCIONAMENTO;700;1700
5021080;4;aps fixa;AGÊNCIA DA PREVIDÊNCIA SOCIAL JUAZEIRO DO NORTE    ;APSJUA;29/09/2000;RUA SANTA LUZIA, 287/295              ;;CENTRO       ;63010227       ;5074;JUAZEIRO DO NORTE  ;CE;88;35121733;;35110964;aps05021080@inss.gov.br;A;29979036085545;1;1;EM FUNCIONAMENTO;700;1700
